xI_real,xI_imag,yout_real,yout_imag
0.451738452,0.330054069,-0.696038116,0.344660404
0.71968184,0.23530537,-0.654714285,0.285869247
0.622764575,0.224684117,-0.607242977,0.196769083
0.487058238,0.2271962,-0.537535026,0.111958586
0.322831549,0.240042744,-0.455516675,0.05654318
0.143218711,0.259109283,-0.400491783,-0.082978949
-0.037455185,0.279570159,-0.351761135,-0.292928654
-0.205067511,0.296300257,-0.220011261,-0.497225923
-0.34708962,0.304259368,-0.06378629,-0.591221318
-0.454099663,0.299330497,0.066814297,-0.615893768
-0.520404507,0.278357338,0.161360824,-0.624996031
-0.544450571,0.239620428,0.228135521,-0.605593791
-0.528828418,0.183310105,0.301025342,-0.543218509
-0.479606662,0.111076417,0.337012557,-0.465446492
-0.405315961,0.026000134,0.344312843,-0.415916711
-0.315588266,-0.067662037,0.354264464,-0.287578068
-0.219965325,-0.164998479,0.454888715,-0.142997063
-0.126707221,-0.260916949,0.497453912,-0.00861764
-0.041870004,-0.350739692,0.504864879,0.198599293
0.030984002,-0.430473168,0.449972603,0.367362932
0.090976708,-0.497378023,0.414283486,0.483217981
0.139425852,-0.550111758,0.382253002,0.565797357
0.178867641,-0.588383649,0.360161905,0.602746856
0.212398779,-0.61325333,0.330325101,0.640637262
0.242703603,-0.626821316,0.308429172,0.673950897
0.27105947,-0.631545995,0.25493385,0.703576663
0.297012661,-0.630095109,0.239083795,0.736145163
0.318225378,-0.624873061,0.18884031,0.734778119
0.33071959,-0.617658032,0.179421622,0.756390065
0.329758542,-0.609596911,0.174217602,0.73554292
0.310586175,-0.600969994,0.15033628,0.72192238
0.2694258,-0.591307995,0.154023034,0.682945451
0.204799836,-0.579858676,0.175883657,0.619414571
0.118029786,-0.56568544,0.216739851,0.552848961
0.013494501,-0.547958673,0.294432969,0.472239736
-0.101285787,-0.526448617,0.372094774,0.378586222
-0.216424441,-0.501591284,0.477150788,0.2607361
-0.320646337,-0.47463206,0.574649866,0.173451326
-0.402614079,-0.447610533,0.603177215,0.078436482
-0.452411164,-0.423045959,0.599688537,0.010191503
-0.462830104,-0.403741575,0.614019409,-0.005094085
-0.430715103,-0.392302192,0.605497068,-0.002012308
-0.357444112,-0.390734122,0.546535146,0.060431239
-0.248850885,-0.400110586,0.515220583,0.16643774
-0.114994887,-0.420198809,0.490557073,0.259120124
0.030899502,-0.4495128,0.396053718,0.446626818
0.173842554,-0.48524879,0.330077798,0.584385551
0.298727795,-0.52357084,0.242187453,0.668086523
0.392052951,-0.560133554,0.201450419,0.742064413
0.443319301,-0.590308045,0.166243833,0.773455809
0.44628713,-0.610061043,0.162279028,0.793032895
0.399556664,-0.616476578,0.165749378,0.766560079
0.306572966,-0.607779062,0.179908045,0.692584759
0.175257691,-0.583927694,0.21247073,0.591134619
0.016990612,-0.546673347,0.319004778,0.479247351
-0.154725247,-0.499239161,0.426389219,0.338791425
-0.325740164,-0.446074741,0.550219742,0.128176447
-0.482741731,-0.392288234,0.60326569,-0.059130549
-0.614568346,-0.343073812,0.637918022,-0.191618165
-0.713130298,-0.303004797,0.656518485,-0.263749231
-0.774010263,-0.275533961,0.698053689,-0.349309013
-0.796667518,-0.262692876,0.673110045,-0.375396593
-0.783874986,-0.264621378,0.694156431,-0.380142753
-0.741190535,-0.279577663,0.700275222,-0.323554341
-0.676202817,-0.304244412,0.736909198,-0.231059689
-0.59727548,-0.334055885,0.725876222,-0.173171869
-0.512788888,-0.36376123,0.720443333,-0.084650192
-0.430244437,-0.388020557,0.686108162,-0.038463792
-0.355563374,-0.402020984,0.665398342,0.061403968
-0.292959844,-0.401986319,0.626192322,0.151755097
-0.244607886,-0.385568866,0.586130705,0.171348387
-0.210789804,-0.352151282,0.501686079,0.183382772
-0.190257002,-0.302779482,0.502741433,0.150592423
-0.180672194,-0.239905177,0.389258077,0.075060918
-0.179112932,-0.167124542,0.340634369,0.01720699
-0.182198079,-0.08875747,0.251176177,-0.078765184
-0.18670926,-0.009319646,0.178697225,-0.150505657
-0.189795534,0.066931247,0.018804013,-0.208879943
-0.189009292,0.136370986,-0.039995286,-0.265355517
-0.182847615,0.19630899,-0.112422124,-0.303534628
-0.170341155,0.245095043,-0.17193581,-0.325775417
-0.151221344,0.282020024,-0.187147474,-0.306752083
-0.126413903,0.307184226,-0.182646488,-0.321135152
-0.097424737,0.321394078,-0.238299916,-0.324736864
-0.066392858,0.325821705,-0.242195596,-0.283788748
-0.036182213,0.321634325,-0.266230053,-0.287977931
-0.010007391,0.309886995,-0.305565233,-0.274435359
0.008769771,0.291362157,-0.317282164,-0.215185249
0.017050133,0.266548647,-0.279568641,-0.2218265
0.012295337,0.235742757,-0.292966231,-0.185096583
-0.006933149,0.199154286,-0.249856997,-0.176856412
-0.040583186,0.157327786,-0.209683046,-0.199129742
-0.087045732,0.111250167,-0.104940038,-0.26561952
-0.142881447,0.062319727,-0.02658521,-0.295828391
-0.202978797,0.012644011,0.149159581,-0.34934569
-0.260877234,-0.035010036,0.2484919,-0.373913371
-0.309348291,-0.077384597,0.355806251,-0.337453245
-0.341137368,-0.11099011,0.395481864,-0.32789369
-0.349677241,-0.132517476,0.437087848,-0.257815921
-0.330197507,-0.139126678,0.412565572,-0.260912758
-0.280128117,-0.129013026,0.404203488,-0.211291736
-0.199601705,-0.101634722,0.318680571,-0.180095182
-0.092160736,-0.057739157,0.225590765,-0.100141973
0.03582279,0.000210695,0.075492128,0.067076886
0.175603551,0.068249952,-0.11835119,0.29454451
0.31662222,0.141401264,-0.355428838,0.36429263
0.447685786,0.213942155,-0.533814429,0.346983774
0.558007895,0.280026197,-0.65160086,0.342194361
0.638385793,0.334289843,-0.686688802,0.364622779
0.681960676,0.372405546,-0.773051077,0.338889686
0.685081511,0.391597889,-0.766335233,0.331138945
0.647720518,0.39098071,-0.792214033,0.251199904
0.572840776,0.37180145,-0.751287167,0.200991672
0.466394382,0.337250683,-0.7098058,0.101997683
0.336674452,0.29217099,-0.620328103,0.050205247
0.192959667,0.242746752,-0.528362159,-0.020203903
0.044834826,0.195750884,-0.43985227,-0.150215364
-0.098857964,0.157888073,-0.318401735,-0.35759391
-0.230813471,0.135153391,-0.129197089,-0.510871846
-0.345555861,0.131999171,0.012184285,-0.624041222
-0.439742463,0.150994997,0.137119481,-0.646348355
-0.512022633,0.192603919,0.191254767,-0.702569524
-0.562606487,0.254804874,0.189896319,-0.734983887
-0.592567932,0.333267573,0.162666546,-0.77770744
-0.603320246,0.421827658,0.121326118,-0.839272367
-0.596201057,0.512981614,0.021924762,-0.881152032
-0.572013818,0.598594468,-0.054023,-0.86898789
-0.53096372,0.670656091,-0.157138553,-0.901125443
-0.472752644,0.722069843,-0.210982563,-0.839412518
-0.397039836,0.74729505,-0.280749167,-0.830323574
-0.303837171,0.742927467,-0.34662061,-0.741954571
-0.194012261,0.708217511,-0.363147237,-0.697129745
-0.070171111,0.644993499,-0.398380026,-0.556227554
0.063375918,0.557505582,-0.420733741,-0.427198563
0.200614813,0.452244685,-0.512672793,-0.228450318
0.333739651,0.337268913,-0.549061126,-0.001815929
0.453982785,0.221549175,-0.529060569,0.22090353
0.552321221,0.114139993,-0.478175444,0.390131134
0.620420952,0.023288552,-0.455264641,0.495200542
0.651711742,-0.044189513,-0.414970633,0.524533323
0.64217801,-0.083724813,-0.390981285,0.553197085
0.591135544,-0.093414882,-0.375625776,0.491425008
0.501344768,-0.07404208,-0.35102226,0.416542542
0.378994705,-0.029225411,-0.293194319,0.316515597
0.233296031,0.034900522,-0.254984244,0.236795183
0.07542368,0.110356986,-0.304293437,0.052732
-0.082438939,0.187965415,-0.334690375,-0.225088103
-0.228384546,0.258242038,-0.252610624,-0.494026339
