xI_actual,xI_real,xI_imag
9.00E-05,-0.003647159,-0.239135137
9.00E-05,-0.046271018,-0.236684779
9.00E-05,-0.086264659,-0.225911979
9.00E-05,-0.119737599,-0.206485475
9.00E-05,-0.143437421,-0.178463989
9.00E-05,-0.155046446,-0.142364252
9.00E-05,-0.153336548,-0.099090351
9.00E-05,-0.13824889,-0.049974271
9.00E-05,-0.110857255,0.003373557
9.00E-05,-0.073232709,0.059083292
9.00E-05,-0.028234621,0.11517932
9.00E-05,0.020737571,0.169698566
9.00E-05,0.070088184,0.220764606
9.00E-05,0.116271399,0.266725504
9.00E-05,0.156096341,0.306161446
9.00E-05,0.186951928,0.338019153
9.00E-05,0.20699389,0.361554591
9.00E-05,0.21523768,0.376340183
9.00E-05,0.211620026,0.382265393
9.00E-05,0.196942478,0.379462773
9.00E-05,0.172798529,0.368262239
9.00E-05,0.141413039,0.349187317
9.00E-05,0.105479194,0.322893073
9.00E-05,0.067958554,0.290152383
9.00E-05,0.031823063,0.251874665
9.00E-05,-9.14E-05,0.209111621
9.00E-05,-0.025341876,0.16309951
9.00E-05,-0.042012591,0.115241552
9.00E-05,-0.048874928,0.067139899
9.00E-05,-0.045455879,0.0205826
9.00E-05,-0.032123708,-0.022509356
9.00E-05,-0.010036573,-0.060140384
9.00E-05,0.018884381,-0.090366917
9.00E-05,0.052091866,-0.111384931
9.00E-05,0.086559938,-0.121702498
9.00E-05,0.118997147,-0.120294157
9.00E-05,0.146080835,-0.106683443
9.00E-05,0.164724246,-0.081087177
9.00E-05,0.172317531,-0.044442818
9.00E-05,0.166963426,0.001577342
9.00E-05,0.147662299,0.054646496
9.00E-05,0.114452911,0.111881186
9.00E-05,0.068474045,0.170034131
9.00E-05,0.011919063,0.225702775
9.00E-05,-0.052055132,0.275567974
9.00E-05,-0.119553881,0.316635419
9.00E-05,-0.186227037,0.346439974
9.00E-05,-0.247571755,0.363238432
9.00E-05,-0.299316214,0.366112668
9.00E-05,-0.337769525,0.355015895
9.01E-05,-0.360124885,0.330770455
9.01E-05,-0.364769652,0.294952665
9.01E-05,-0.351382456,0.24972253
9.01E-05,-0.321039355,0.197654333
9.01E-05,-0.276144677,0.141528603
9.01E-05,-0.220219285,0.084047547
9.01E-05,-0.157682424,0.027708726
9.01E-05,-0.093393261,-0.025426626
9.01E-05,-0.032357729,-0.07377863
9.01E-05,0.020825534,-0.116346695
9.01E-05,0.06225467,-0.152663857
9.01E-05,0.089129159,-0.182768009
9.01E-05,0.099955709,-0.207077356
9.01E-05,0.094693446,-0.226265471
9.01E-05,0.074729325,-0.24111747
9.01E-05,0.042766735,-0.252428225
9.01E-05,0.002546759,-0.260908376
9.01E-05,-0.041451372,-0.267108663
9.01E-05,-0.08442819,-0.271390477
9.01E-05,-0.121718002,-0.273983598
9.01E-05,-0.149126267,-0.27500886
9.01E-05,-0.163334989,-0.274562034
9.01E-05,-0.162173426,-0.272778204
9.01E-05,-0.144748472,-0.269913676
9.01E-05,-0.111518267,-0.266381511
9.01E-05,-0.06420658,-0.262759594
9.01E-05,-0.005664681,-0.259749446
9.01E-05,0.060456188,-0.25814342
9.01E-05,0.129956201,-0.25870193
9.01E-05,0.198468923,-0.262034238
9.01E-05,0.261818388,-0.268530024
9.01E-05,0.316306625,-0.278221524
9.01E-05,0.359002664,-0.29074462
9.01E-05,0.387874865,-0.305304514
9.01E-05,0.401916427,-0.320711171
9.01E-05,0.401151287,-0.33549095
9.01E-05,0.386524733,-0.347991583
9.01E-05,0.359813503,-0.356555634
